Demand 05/10/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,22116,21122,21122,21122,21122,21122,21122,21122,21122,21122,21122,21122,21122,20285,20285,20285,20285,20285,20285,20285,20285,20285,20285,20285,20285,19768,19768,19768,19768,19768,19768,19768,19768,19768,19768,19768,19768,19535,19535,19535,19535,19535,19535,19535,19535,19535,19535,19535,19535,19917,19917,19917,19917,19917,19917,19917,19917,19917,19917,19917,19917,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,21023,22259,22259,22259,22259,22259,22259,22259,22259,22259,22259,22259,22259,23032,23032,23032,23032,23032,23032,23032,23032,23032,23032,23032,23032,23241,23241,23241,23241,23241,23241,23241,23241,23241,23241,23241,23241,22787,22787,22787,22787,22787,22787,22787,22787,22787,22787,22787,22787,22172,22172,22172,22172,22172,22172,22172,22172,22172,22172,22172,22172,21963,21963,21963,21963,21963,21963,21963,21963,21963,21963,21963,21963,22229,22229,22229,22229,22229,22229,22229,22229,22229,22229,22229,22229,22893,22893,22893,22893,22893,22893,22893,22893,22893,22893,22893,22893,23784,23784,23784,23784,23784,23784,23784,23784,23784,23784,23784,23784,25117,25117,25117,25117,25117,25117,25117,25117,25117,25117,25117,25117,26561,26561,26561,26561,26561,26561,26561,26561,26561,26561,26561,26561,27792,27792,27792,27792,27792,27792,27792,27792,27792,27792,27792,27792,28511,28511,28511,28511,28511,28511,28511,28511,28511,28511,28511,28511,28801,28801,28801,28801,28801,28801,28801,28801,28801,28801,28801,28801,28947,28947,28947,28947,28947,28947,28947,28947,28947,28947,28947,28947,27690,27690,27690,27690,27690,27690,27690,27690,27690,27690,27690,27690,25605,25605,25605,25605,25605,25605,25605,25605,25605,25605,25605,25605,23676,23676,23676,23676,23676,23676,23676,23676,23676,23676,23676,23676
Hour-ahead forecast,21569,21349,21349,21349,21122,21122,21122,20845,20845,20845,20600,20600,20600,20431,20431,20431,20239,20239,20239,20041,20041,20041,19978,19978,19978,19933,19933,19933,19839,19839,19839,19801,19801,19801,19737,19737,19737,19694,19694,19694,19670,19670,19670,19649,19649,19649,19774,19774,19774,19891,19891,19891,19982,19982,19982,20133,20133,20133,20440,20440,20440,20827,20827,20827,21145,21145,21145,21365,21365,21365,21706,21706,21706,22042,22042,22042,22324,22324,22324,22655,22655,22655,23121,23121,23121,23411,23411,23411,23502,23502,23502,23706,23706,23706,23892,23892,23892,24031,24031,24031,24112,24112,24112,23934,23934,23934,23840,23840,23840,23678,23678,23678,23543,23543,23543,23507,23507,23507,23516,23516,23516,23425,23425,23425,23428,23428,23428,23238,23238,23238,23208,23208,23208,23206,23206,23206,23244,23244,23244,23112,23112,23112,23176,23176,23176,23177,23177,23177,23159,23159,23159,23146,23146,23146,23241,23241,23241,23365,23365,23365,23488,23488,23488,23648,23648,23648,23745,23745,23745,23853,23853,23853,23906,23906,23906,24327,24327,24327,24417,24417,24417,24565,24565,24565,24807,24807,24807,25124,25124,25124,25413,25413,25413,25694,25694,25694,25974,25974,25974,26453,26453,26453,26746,26746,26746,27047,27047,27047,27487,27487,27487,27898,27898,27898,27982,27982,27982,28145,28145,28145,28349,28349,28349,28623,28623,28623,28749,28749,28749,28784,28784,28784,28938,28938,28938,29184,29184,29184,29372,29372,29372,29373,29373,29373,29308,29308,29308,29046,29046,29046,28719,28719,28719,28420,28420,28420,28066,28066,28066,27639,27639,27639,27071,27071,27071,26571,26571,26571,26056,26056,26056,25449,25449,25449,24868,24868,24868,24442,24442,24442,23996,23996,23996,23620,23620,23620,23293,23293,23293
Demand,21495,21503,21450,21334,21239,21171,21089,21021,20957,20855,20785,20705,20658,20587,20541,20406,20364,20321,20287,20231,20169,20113,20084,20113,20005,19950,20039,20021,20016,19992,19928,19903,19864,19818,19789,19713,19710,19711,19705,19693,19656,19658,19650,19657,19665,19635,19649,19670,19668,19695,19774,19826,19897,19912,19954,20012,19998,20069,20155,20204,20312,20496,20728,20810,20976,21008,21068,21188,21306,21384,21467,21480,21570,21829,22002,22088,22204,22298,22375,22520,22634,22716,22855,22919,23221,23582,23371,23494,23529,23601,23655,23767,23845,23843,23877,23853,23896,24116,24231,24215,24162,24125,24122,24045,24025,23917,23947,23837,23829,23794,23788,23770,23760,23740,23718,23708,23680,23668,23624,23612,23600,23631,23559,23524,23440,23396,23349,23317,23314,23286,23278,23194,23222,23275,23207,23140,23059,23061,23038,23102,23110,23089,23054,23006,23021,23053,22905,22964,22926,22971,23073,23026,22980,23084,23050,23107,23094,23173,23215,23240,23276,23333,23413,23379,23422,23432,23500,23543,23609,23558,23639,23694,23915,23932,23981,23957,23987,24033,24066,24151,24232,24351,24344,24452,24593,24656,24752,24829,24969,25066,25154,25210,25299,25339,25448,25563,25703,25861,25987,26107,26211,26344,26484,26549,26667,26824,26905,27050,27190,27340,27498,27569,27654,27767,27877,27978,28078,28035,28047,28141,28275,28400,28468,28572,28603,28690,28785,28804,28848,28861,28870,28905,28978,28963,28991,29094,29162,29140,29225,29255,29344,29358,29377,29416,29417,29411,29347,29278,29238,29132,29062,28995,28853,28787,28666,28582,28479,28346,28209,28085,27918,27773,27627,27452,27260,27007,26740,26574,26389,26213,26026,25869,25693,25533,25338,25174,25009,24806,24567,24430,24277,24152,24003,23878,23748,23650,23506,23422,
