Demand 01/20/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,21421,20115,20115,20115,20115,20115,20115,20115,20115,20115,20115,20115,20115,19419,19419,19419,19419,19419,19419,19419,19419,19419,19419,19419,19419,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,18984,18984,18984,18984,18984,18984,18984,18984,18984,18984,18984,18984,19473,19473,19473,19473,19473,19473,19473,19473,19473,19473,19473,19473,20875,20875,20875,20875,20875,20875,20875,20875,20875,20875,20875,20875,23065,23065,23065,23065,23065,23065,23065,23065,23065,23065,23065,23065,24080,24080,24080,24080,24080,24080,24080,24080,24080,24080,24080,24080,23740,23740,23740,23740,23740,23740,23740,23740,23740,23740,23740,23740,22756,22756,22756,22756,22756,22756,22756,22756,22756,22756,22756,22756,21871,21871,21871,21871,21871,21871,21871,21871,21871,21871,21871,21871,21370,21370,21370,21370,21370,21370,21370,21370,21370,21370,21370,21370,21147,21147,21147,21147,21147,21147,21147,21147,21147,21147,21147,21147,21358,21358,21358,21358,21358,21358,21358,21358,21358,21358,21358,21358,21851,21851,21851,21851,21851,21851,21851,21851,21851,21851,21851,21851,22445,22445,22445,22445,22445,22445,22445,22445,22445,22445,22445,22445,23767,23767,23767,23767,23767,23767,23767,23767,23767,23767,23767,23767,26151,26151,26151,26151,26151,26151,26151,26151,26151,26151,26151,26151,26771,26771,26771,26771,26771,26771,26771,26771,26771,26771,26771,26771,26152,26152,26152,26152,26152,26152,26152,26152,26152,26152,26152,26152,25198,25198,25198,25198,25198,25198,25198,25198,25198,25198,25198,25198,23960,23960,23960,23960,23960,23960,23960,23960,23960,23960,23960,23960,22375,22375,22375,22375,22375,22375,22375,22375,22375,22375,22375,22375,20917,20917,20917,20917,20917,20917,20917,20917,20917,20917,20917,20917
Hour-ahead forecast,20675,20481,20481,20481,20266,20266,20266,20038,20038,20038,19899,19899,19899,19770,19770,19770,19620,19620,19620,19467,19467,19467,19395,19395,19395,19314,19314,19314,19245,19245,19245,19208,19208,19208,19211,19211,19211,19250,19250,19250,19247,19247,19247,19295,19295,19295,19474,19474,19474,19643,19643,19643,19789,19789,19789,20009,20009,20009,20433,20433,20433,20862,20862,20862,21221,21221,21221,21570,21570,21570,22294,22294,22294,22902,22902,22902,23347,23347,23347,23714,23714,23714,24085,24085,24085,24323,24323,24323,24436,24436,24436,24483,24483,24483,24575,24575,24575,24598,24598,24598,24403,24403,24403,23995,23995,23995,23866,23866,23866,23571,23571,23571,23220,23220,23220,22857,22857,22857,22680,22680,22680,22528,22528,22528,22437,22437,22437,22289,22289,22289,22181,22181,22181,21997,21997,21997,22014,22014,22014,21992,21992,21992,21937,21937,21937,21924,21924,21924,21848,21848,21848,21800,21800,21800,21724,21724,21724,21753,21753,21753,21800,21800,21800,21813,21813,21813,22006,22006,22006,22164,22164,22164,22143,22143,22143,22278,22278,22278,22454,22454,22454,22690,22690,22690,23014,23014,23014,23320,23320,23320,23595,23595,23595,24010,24010,24010,24484,24484,24484,25024,25024,25024,25558,25558,25558,26233,26233,26233,26916,26916,26916,27171,27171,27171,27282,27282,27282,27274,27274,27274,27202,27202,27202,27013,27013,27013,26790,26790,26790,26516,26516,26516,26332,26332,26332,26137,26137,26137,25913,25913,25913,25713,25713,25713,25477,25477,25477,25195,25195,25195,24956,24956,24956,24662,24662,24662,24380,24380,24380,24042,24042,24042,23633,23633,23633,23294,23294,23294,22936,22936,22936,22524,22524,22524,22197,22197,22197,21891,21891,21891,21569,21569,21569,21314,21314,21314,21113,21113,21113
Demand,20612,20586,20595,20501,20415,20348,20279,20210,20187,20130,20057,19986,19907,19863,19816,19775,19746,19646,19616,19591,19546,19496,19484,19447,19427,19384,19384,19332,19312,19288,19257,19246,19243,19214,19188,19223,19182,19215,19242,19226,19236,19234,19228,19248,19268,19279,19295,19297,19304,19418,19536,19570,19621,19685,19742,19822,19875,19963,20014,20080,20201,20411,20598,20729,20850,20902,21036,21190,21335,21457,21597,21707,21894,22207,22548,22738,22907,23025,23165,23321,23487,23601,23735,23798,23903,24098,24249,24352,24438,24482,24533,24533,24598,24612,24603,24538,24618,24687,24668,24478,24385,24378,24377,24326,24239,24126,24022,23906,23785,23729,23625,23506,23449,23314,23227,23192,23090,23025,22947,22872,22851,22851,22731,22692,22668,22562,22550,22452,22408,22321,22250,22214,22262,22178,22185,22128,22115,22036,21977,21991,21953,21968,21934,21940,21893,21833,21844,21796,21754,21768,21760,21633,21585,21552,21536,21610,21645,21682,21616,21661,21641,21676,21646,21724,21720,21794,21871,21918,21896,21889,21911,21945,21981,21998,22042,22075,22117,22139,22238,22338,22429,22481,22526,22649,22761,22837,22975,23011,23070,23238,23388,23500,23565,23663,23726,23886,24058,24213,24358,24486,24638,24803,24956,25144,25347,25449,25650,25851,26087,26306,26569,26787,26993,27119,27254,27288,27320,27258,27256,27268,27236,27190,27132,27088,27025,27002,26930,26901,26786,26714,26645,26576,26534,26472,26414,26356,26322,26264,26199,26133,26060,25930,25869,25796,25730,25624,25551,25473,25368,25316,25191,25097,25015,24941,24825,24763,24672,24594,24457,24370,24256,24165,24038,23920,23775,23635,23518,23383,23294,23163,23033,22915,22809,22666,22546,22419,22298,22136,22035,21924,21776,21716,21609,21537,21411,21322,21212,21083,
