Renewables 04/20/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-40,-40,-40,-40,-39,-40,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-41,-41,-41,-41,-42,-42,-42,-41,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-43,-43,-42,-38,-28,-4,39,120,260,444,698,1013,1363,1756,2241,2736,3223,3781,4380,4915,5482,6054,6553,7011,7491,8084,8395,8953,9286,9481,9788,10147,10457,10670,10856,11024,11190,11290,11379,11460,11556,11669,11758,11853,11909,11933,11971,11977,12075,12153,12122,12220,12454,12349,12374,12344,12359,12441,12503,12706,12649,12478,12731,12591,12563,12532,12499,12514,12568,12598,12640,12613,12592,12500,12540,12610,12539,12570,12588,12589,12620,12673,12650,12601,12739,12787,12723,12523,12474,12512,12544,12672,12432,12423,12664,12371,12359,12516,12429,12505,12382,12402,12229,12172,12231,12265,12182,12150,12130,12316,12359,12025,11953,12014,12163,12136,12149,12041,11955,11953,12014,11885,11568,11374,11315,11075,10778,10701,10625,10421,10269,9893,9736,9874,9780,9780,9496,9309,9265,9203,8854,8449,8130,7908,7581,6940,6347,5964,5456,4964,4466,3966,3420,2878,2414,1974,1548,1212,904,646,453,290,180,105,46,12,-28,-49,-50,-49,-48,-47,-47,-46,-46,-46,-46,-45,-45,-45,-45,-45,-46,-46,-45,-45,-44,-44,-43,-43,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42
Wind,5432,5425,5426,5434,5457,5472,5477,5486,5429,5323,5363,5375,5384,5413,5341,5307,5298,5250,5230,5214,5208,5190,5197,5192,5195,5204,5204,5193,5201,5193,5204,5172,5132,5146,5147,5139,5144,5153,5178,5140,5120,5109,5077,5034,5039,5034,5051,5059,5044,5051,5056,5046,5053,5035,5050,5038,5038,4992,4991,4966,4910,4843,4804,4769,4721,4697,4656,4615,4593,4547,4509,4445,4351,4253,4294,4228,4125,4007,3977,3897,3802,3720,3666,3590,3544,3509,3451,3420,3343,3320,3333,3343,3282,3219,3209,3203,3220,3258,3259,3250,3232,3228,3229,3210,3220,3184,3173,3164,3189,3143,3156,3173,3212,3273,3270,3246,3235,3180,3162,3107,3065,3053,2969,2994,2996,3025,3026,2988,2951,2895,2826,2785,2718,2655,2648,2614,2598,2556,2497,2432,2439,2427,2459,2487,2526,2530,2543,2523,2498,2489,2430,2433,2465,2482,2507,2562,2585,2651,2709,2801,2903,2999,3087,3224,3239,3354,3474,3549,3644,3674,3719,3765,3786,3834,3748,3682,3709,3778,3852,3852,3856,3916,3933,3908,3893,3914,3957,3951,3874,3779,3758,3710,3679,3631,3520,3507,3519,3455,3419,3430,3488,3560,3577,3553,3509,3512,3541,3522,3494,3464,3484,3565,3609,3555,3566,3597,3621,3591,3590,3613,3632,3697,3749,3770,3785,3767,3774,3760,3745,3626,3527,3440,3273,3149,3137,3122,3109,3114,3104,3086,3110,3131,3108,3084,3069,3089,3067,3084,3078,3083,3102,3210,3335,3432,3471,3503,3479,3394,3322,3338,3396,3403,3397,3396,3407,3398,3403,3456,3504,3582,3661,3765,3789,3802,3805,3780,3738,3710,3674,3588,3499,3453,3463,3483,3516,3542,3583,3627
Geothermal,933,934,934,932,933,930,925,931,930,931,931,932,933,933,932,933,933,933,931,931,931,931,931,932,933,933,933,934,932,933,931,931,931,930,931,932,933,934,933,934,934,934,934,933,932,931,922,914,915,914,915,916,916,917,917,917,916,916,914,915,915,916,917,918,918,917,918,917,917,916,916,910,906,906,908,908,908,909,909,909,908,908,907,902,908,906,906,907,907,907,908,908,907,908,907,906,905,905,906,904,906,906,906,906,905,905,904,903,902,902,902,901,900,902,901,901,901,901,902,901,900,900,900,900,901,901,903,902,902,901,900,900,899,899,899,897,895,897,897,898,898,902,902,900,898,898,897,897,897,896,896,898,898,899,898,898,898,897,897,895,894,893,893,892,895,895,896,895,943,910,895,895,894,894,895,894,893,895,896,896,896,896,895,895,941,943,943,944,945,945,946,947,945,944,943,942,942,893,893,894,894,894,896,895,895,895,896,897,897,900,902,903,899,899,901,902,903,904,903,903,903,904,906,905,905,907,908,908,911,916,917,918,920,920,918,919,921,921,921,921,921,922,924,925,926,926,926,925,924,924,923,923,923,923,923,924,924,924,924,925,925,924,923,924,925,925,925,925,927,926,927,927,928,927,927,927,927,928,929,929,929,930,928,929,930,929,930,930
Biomass,294,294,294,294,293,292,293,292,291,293,292,290,288,288,288,290,293,291,290,290,292,293,290,292,294,293,292,292,291,290,288,292,292,293,292,292,293,293,292,289,291,292,292,292,293,293,293,295,292,295,293,293,293,294,294,294,293,292,292,293,293,292,293,294,293,293,293,293,292,291,291,291,289,290,288,290,289,289,291,295,293,293,292,291,291,291,294,294,293,293,293,291,289,293,294,295,292,294,294,294,294,294,295,294,294,293,291,291,291,292,289,287,285,285,285,285,285,283,282,285,285,284,283,285,284,283,284,283,283,282,283,283,282,282,283,283,282,283,283,284,283,284,286,283,281,284,283,280,279,281,281,282,281,283,281,281,285,286,286,285,284,285,282,283,284,285,286,287,285,288,290,292,293,292,290,290,291,290,290,290,290,289,292,292,292,292,293,293,293,291,293,292,292,294,294,294,294,293,294,292,292,291,291,291,291,290,291,292,291,291,291,287,282,282,284,287,286,289,288,289,290,291,291,290,290,290,290,290,292,292,295,294,294,293,291,290,292,293,295,293,295,292,291,291,291,293,294,294,292,294,295,294,291,292,292,293,295,295,294,292,294,293,291,292,293,293,292,291,292,293,290,288,289,290,291,291,291,291,289,288,289,292,292,293,291,290,291,294
Biogas,192,192,192,191,191,192,192,192,192,192,192,192,192,192,193,192,192,192,193,193,193,193,193,193,193,193,193,193,193,193,194,193,194,194,194,194,194,194,194,194,194,194,194,195,195,195,195,195,195,195,195,195,194,194,194,194,194,194,194,194,194,194,194,194,193,193,193,193,194,194,194,193,193,194,194,193,194,194,194,192,191,192,194,193,190,190,190,192,193,192,191,192,193,191,191,193,191,189,188,190,191,191,191,191,190,191,191,190,190,190,190,190,190,188,188,189,188,189,187,186,186,186,188,189,186,186,187,186,185,187,188,187,187,187,187,187,184,182,184,184,186,182,181,181,181,181,181,180,181,181,180,181,181,181,181,181,181,182,182,179,178,181,181,182,182,182,182,182,184,186,187,189,189,189,189,189,189,190,189,190,190,190,190,190,189,190,190,190,190,189,190,189,189,191,192,192,192,193,193,192,192,192,192,192,193,193,193,193,192,192,192,190,188,188,190,191,191,190,191,192,192,192,191,191,191,191,191,191,191,192,191,191,191,192,192,192,192,191,190,190,190,190,191,192,193,195,195,194,195,195,195,196,195,195,195,194,195,195,195,195,198,198,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,198,198,197,198
Small hydro,171,171,171,172,173,174,174,174,175,175,176,176,176,176,170,170,171,171,171,171,171,171,171,172,171,172,172,172,173,172,172,171,171,171,172,172,172,172,172,171,171,171,171,171,171,172,172,172,171,171,170,171,171,171,171,171,171,172,172,172,172,171,170,170,170,171,172,172,171,171,171,185,185,191,191,192,193,194,194,194,194,193,193,193,192,192,194,195,196,195,196,195,196,196,195,196,196,196,196,195,195,195,195,195,196,196,196,196,199,199,199,199,198,198,198,199,198,187,193,198,198,199,198,192,198,192,179,179,179,178,177,177,171,172,172,174,173,172,178,182,182,180,186,187,186,183,187,191,192,193,194,192,191,191,191,191,191,192,192,192,192,193,193,192,191,191,192,192,192,196,196,196,197,187,176,180,182,185,187,187,187,187,181,178,178,179,178,187,188,205,206,216,227,226,211,184,184,185,184,184,185,183,180,179,178,178,179,180,181,182,182,182,182,181,181,182,183,183,183,184,184,183,184,184,184,185,185,197,206,206,208,208,208,208,208,207,207,207,207,210,213,212,221,221,220,220,220,220,221,222,222,221,221,216,190,190,191,190,189,189,189,189,189,190,190,188,186,186,186,186,186,186,185,186,186,186,187,188,189,191,191,191,191,190,190,190,190,190
