Renewables 03/20/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-27,-27,-27,-28,-27,-28,-28,-28,-29,-29,-30,-30,-31,-31,-30,-30,-30,-33,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-45,-45,-45,-45,-46,-46,-46,-45,-46,-46,-46,-46,-45,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-41,-32,1,54,113,211,402,582,777,1064,1427,1735,2007,2309,2585,2915,3855,4762,5062,4985,5504,5992,6293,6401,6430,6360,6549,6778,7922,8504,8788,9165,9265,9158,9057,9147,9175,9118,8982,9057,9736,9675,9465,9346,9250,9259,9152,9154,9257,9320,9310,9226,8995,9072,8895,8775,8556,8423,8439,8322,8088,7872,7804,7909,7877,7916,7930,7788,7477,7335,7182,7102,7120,7267,7274,7128,7096,6976,7029,7002,6954,6862,6753,6878,6771,6977,7069,6848,6529,6393,6574,6719,6646,6591,6570,6621,6574,6542,6499,6468,6549,6602,6672,6764,6915,6996,7201,7138,7118,7110,7105,6923,6756,6534,6284,6098,6391,6798,7121,7264,7351,7288,7162,6919,6865,6512,6360,6372,6438,6525,6340,6468,6137,5649,5099,4549,3958,3367,2862,2351,1855,1471,1131,818,532,330,206,115,48,2,-43,-46,-46,-45,-44,-44,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-42,-42,-41,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-41,-41,-40,-40,-40,-40,-40,-40,-40,-40,-40
Wind,3623,3690,3741,3721,3626,3547,3480,3443,3423,3506,3567,3612,3663,3727,3833,3920,3970,4038,4115,4186,4242,4298,4377,4390,4400,4453,4526,4623,4750,4825,4829,4880,4846,4807,4758,4704,4676,4682,4689,4692,4688,4700,4692,4715,4739,4816,4855,4858,4852,4767,4618,4433,4257,4142,4116,4072,4020,4054,4001,3840,3654,3497,3417,3367,3352,3425,3528,3650,3753,3867,3959,4091,4192,4327,4427,4456,4550,4617,4640,4667,4699,4707,4728,4734,4810,4816,4807,4760,4746,4713,4705,4687,4669,4711,4753,4768,4785,4787,4783,4845,4897,4892,4819,4819,4815,4791,4697,4661,4770,4772,4787,4763,4726,4682,4681,4688,4681,4662,4704,4764,4780,4737,4761,4742,4703,4634,4594,4551,4530,4541,4559,4566,4530,4493,4482,4474,4466,4452,4435,4371,4367,4431,4456,4486,4471,4522,4553,4543,4577,4527,4526,4493,4465,4387,4431,4486,4400,4390,4430,4421,4407,4435,4455,4503,4496,4505,4529,4506,4525,4530,4502,4493,4498,4487,4470,4448,4431,4429,4428,4413,4397,4384,4343,4352,4349,4348,4397,4393,4463,4424,4391,4384,4370,4357,4402,4396,4410,4422,4423,4400,4417,4372,4325,4292,4175,4189,4157,4138,4084,4070,4097,4095,4073,4100,4142,4224,4322,4383,4393,4462,4506,4549,4575,4600,4574,4553,4531,4470,4436,4427,4404,4387,4348,4330,4279,4214,4163,4133,4109,4106,4129,4144,4182,4195,4208,4233,4259,4245,4240,4243,4196,4176,4131,4128,4154,4142,4210,4280,4388,4440,4526,4586,4606,4586,4572,4557,4539,4528,4550,4559,4576,4604,4601,4577,4553,4548,4553,4542,4501,4502,4491,4471,4448,4414,4399,4421,4435,4440
Geothermal,996,996,995,995,994,994,995,993,994,993,987,985,985,991,993,996,995,995,994,994,994,993,993,994,995,995,994,995,994,995,994,994,993,993,993,993,993,993,994,995,994,994,995,994,995,994,993,993,993,993,994,995,996,996,996,996,996,995,995,992,992,993,992,993,992,993,994,995,993,994,993,994,993,993,990,994,993,993,991,996,997,997,998,998,998,998,998,997,995,996,996,995,995,997,997,997,996,996,995,995,993,993,993,993,993,993,993,993,994,990,994,994,994,993,987,992,992,992,993,993,994,994,994,994,994,994,993,993,992,992,992,992,992,991,982,979,981,980,980,984,985,984,982,983,983,985,991,992,993,993,993,993,993,992,991,991,990,990,991,990,990,991,992,992,992,991,991,990,991,990,988,989,989,989,988,984,980,981,981,981,979,979,979,978,978,978,979,975,979,980,981,981,981,981,981,981,981,979,977,977,977,978,977,975,978,979,977,978,974,978,978,978,977,985,986,987,988,988,989,990,991,991,991,991,989,985,984,984,983,983,982,983,984,984,983,985,986,988,988,987,986,987,987,986,987,988,987,989,989,989,989,990,989,989,991,991,993,991,992,994,994,994,995,995,995,993,993,993,993,992,992,992,993,993,994,993,994,994,993,993,991,991,991,991,992,992,994,996
Biomass,257,257,256,254,254,254,253,253,255,254,255,255,255,254,255,257,257,257,256,255,255,257,257,257,257,256,258,257,255,255,256,257,257,258,258,257,259,258,256,256,256,256,256,256,257,258,259,259,259,261,261,261,261,261,260,262,261,261,261,261,260,258,259,259,258,259,259,260,260,260,259,259,259,255,256,259,260,259,259,257,253,250,243,245,246,247,247,244,245,249,247,246,245,244,241,244,246,248,250,250,248,246,245,244,245,247,249,247,248,248,247,245,247,245,246,246,246,247,249,249,252,252,253,253,254,254,256,256,258,259,259,260,258,259,260,260,261,261,259,260,259,262,263,264,263,262,264,262,262,262,259,260,261,262,262,261,264,263,263,264,263,262,265,266,265,265,263,263,264,265,265,264,267,265,264,263,261,264,264,263,261,264,261,260,261,261,262,261,261,262,263,261,264,264,265,264,264,265,265,264,266,262,261,260,259,261,262,260,259,258,260,261,261,260,259,256,257,257,256,259,259,259,259,260,262,262,262,262,261,260,261,261,262,263,261,263,265,265,266,268,269,269,265,266,270,268,266,268,270,268,268,269,269,268,265,263,266,268,266,266,267,270,274,273,271,270,270,270,268,266,266,264,265,266,265,265,268,269,269,269,267,267,268,269,270,271,272,273
Biogas,219,219,219,219,219,219,219,219,219,219,219,219,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,221,220,221,221,220,221,220,220,220,220,220,221,221,221,221,220,221,220,220,221,221,221,221,221,221,220,219,218,218,218,218,218,218,218,218,218,218,218,218,220,220,220,220,220,220,220,220,220,220,220,220,220,219,219,219,218,219,219,218,220,220,219,218,218,218,218,217,217,218,217,217,217,217,217,217,217,217,217,217,217,217,216,216,217,217,217,216,216,217,217,217,216,217,216,217,216,216,216,215,216,215,216,216,218,218,218,218,218,218,218,219,219,219,218,219,219,218,219,220,219,219,219,221,220,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,220,220,221,221,220,220,220,221,219,220,220,220,221,221,220,220,220,220,220,220,220,220,220,220,221,222,221,221,221,220,220,220,220,220,220,220,220,220,219,219,220,220,220,220,220,221,220,220,220,220,220,220,220,220,220,221,221,220,220,220,221,221,221,221,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,219,220,220,220,220,220,220,220,219,219,219,219,220,219,220,220,220,220,219,220,220,220,220,220,220,220
Small hydro,162,161,163,160,161,160,160,160,161,161,160,160,161,161,161,160,159,159,159,158,156,158,157,158,158,160,160,160,161,160,158,156,155,156,157,157,157,162,164,165,167,167,168,167,167,167,167,167,167,167,167,167,168,166,165,165,166,166,166,166,165,165,165,166,166,167,166,167,166,166,167,166,166,164,163,164,163,163,164,165,165,166,167,166,164,157,159,162,162,162,162,162,162,161,161,163,163,162,163,163,164,163,163,162,161,160,156,161,160,157,157,158,158,158,158,158,155,156,156,142,117,115,115,113,115,115,113,112,111,111,111,111,112,114,115,116,116,116,116,117,118,116,116,115,115,115,117,118,118,118,119,118,118,118,118,118,118,117,115,117,118,119,120,118,116,116,117,118,118,117,119,118,117,118,117,117,118,117,117,115,113,115,117,119,118,117,117,117,118,117,117,118,118,119,119,119,119,119,119,119,119,119,118,117,118,128,167,172,171,172,171,172,173,174,175,175,176,182,185,184,184,183,183,183,183,183,183,197,216,224,225,225,226,226,227,226,225,224,223,224,226,226,226,226,227,227,226,225,225,225,226,225,225,222,216,216,217,217,216,216,216,216,217,218,219,217,205,181,174,174,174,175,176,176,175,175,176,172,169,169,170,171,172,170,171,171,170,170
