Demand 04/20/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,22963,21438,21438,21438,21438,21438,21438,21438,21438,21438,21438,21438,21438,20537,20537,20537,20537,20537,20537,20537,20537,20537,20537,20537,20537,19946,19946,19946,19946,19946,19946,19946,19946,19946,19946,19946,19946,19750,19750,19750,19750,19750,19750,19750,19750,19750,19750,19750,19750,20075,20075,20075,20075,20075,20075,20075,20075,20075,20075,20075,20075,21304,21304,21304,21304,21304,21304,21304,21304,21304,21304,21304,21304,22930,22930,22930,22930,22930,22930,22930,22930,22930,22930,22930,22930,23533,23533,23533,23533,23533,23533,23533,23533,23533,23533,23533,23533,23197,23197,23197,23197,23197,23197,23197,23197,23197,23197,23197,23197,22327,22327,22327,22327,22327,22327,22327,22327,22327,22327,22327,22327,21351,21351,21351,21351,21351,21351,21351,21351,21351,21351,21351,21351,20843,20843,20843,20843,20843,20843,20843,20843,20843,20843,20843,20843,20934,20934,20934,20934,20934,20934,20934,20934,20934,20934,20934,20934,21166,21166,21166,21166,21166,21166,21166,21166,21166,21166,21166,21166,21584,21584,21584,21584,21584,21584,21584,21584,21584,21584,21584,21584,22186,22186,22186,22186,22186,22186,22186,22186,22186,22186,22186,22186,23201,23201,23201,23201,23201,23201,23201,23201,23201,23201,23201,23201,24501,24501,24501,24501,24501,24501,24501,24501,24501,24501,24501,24501,25798,25798,25798,25798,25798,25798,25798,25798,25798,25798,25798,25798,26792,26792,26792,26792,26792,26792,26792,26792,26792,26792,26792,26792,26919,26919,26919,26919,26919,26919,26919,26919,26919,26919,26919,26919,25744,25744,25744,25744,25744,25744,25744,25744,25744,25744,25744,25744,23928,23928,23928,23928,23928,23928,23928,23928,23928,23928,23928,23928,22321,22321,22321,22321,22321,22321,22321,22321,22321,22321,22321,22321
Hour-ahead forecast,22652,22390,22390,22390,22097,22097,22097,21774,21774,21774,21566,21566,21566,21366,21366,21366,21185,21185,21185,20997,20997,20997,20885,20885,20885,20720,20720,20720,20626,20626,20626,20533,20533,20533,20458,20458,20458,20426,20426,20426,20427,20427,20427,20397,20397,20397,20551,20551,20551,20654,20654,20654,20774,20774,20774,20944,20944,20944,21300,21300,21300,21614,21614,21614,21897,21897,21897,22194,22194,22194,22748,22748,22748,23150,23150,23150,23235,23235,23235,23345,23345,23345,23669,23669,23669,23835,23835,23835,23897,23897,23897,23885,23885,23885,23928,23928,23928,23833,23833,23833,23699,23699,23699,23554,23554,23554,23398,23398,23398,23133,23133,23133,22866,22866,22866,22588,22588,22588,22402,22402,22402,22227,22227,22227,22051,22051,22051,21892,21892,21892,21696,21696,21696,21671,21671,21671,21514,21514,21514,21321,21321,21321,21225,21225,21225,21155,21155,21155,21148,21148,21148,21200,21200,21200,21252,21252,21252,21429,21429,21429,21467,21467,21467,21688,21688,21688,21648,21648,21648,21743,21743,21743,21884,21884,21884,21931,21931,21931,22072,22072,22072,22271,22271,22271,22411,22411,22411,22800,22800,22800,22842,22842,22842,23023,23023,23023,23242,23242,23242,23558,23558,23558,23729,23729,23729,24246,24246,24246,24514,24514,24514,24836,24836,24836,25183,25183,25183,25571,25571,25571,25860,25860,25860,26069,26069,26069,26237,26237,26237,26531,26531,26531,26879,26879,26879,27127,27127,27127,27270,27270,27270,27224,27224,27224,26957,26957,26957,26659,26659,26659,26367,26367,26367,26133,26133,26133,25915,25915,25915,25525,25525,25525,25172,25172,25172,24723,24723,24723,24248,24248,24248,23788,23788,23788,23257,23257,23257,22879,22879,22879,22583,22583,22583,22318,22318,22318,22069,22069,22069
Demand,22643,22584,22600,22397,22293,22220,22068,22007,21942,21834,21777,21700,21622,21550,21496,21437,21357,21312,21277,21248,21129,21041,20962,20907,20883,20833,20818,20767,20735,20696,20699,20622,20561,20529,20504,20466,20471,20455,20491,20465,20463,20437,20415,20435,20450,20444,20435,20417,20448,20513,20622,20639,20666,20736,20765,20830,20824,20903,21002,20993,21039,21256,21437,21567,21656,21725,21798,21916,22035,22171,22371,22418,22493,22755,22951,23009,23078,23104,23149,23209,23244,23306,23332,23397,23463,23592,23727,23816,23928,23915,23886,23990,23953,23948,23921,23879,23860,23936,23957,23929,23902,23829,23836,23735,23712,23550,23491,23436,23376,23341,23266,23215,23086,23035,22954,22866,22702,22644,22554,22476,22432,22380,22332,22245,22309,22140,22018,21974,21953,21914,21849,21764,21751,21719,21618,21510,21417,21413,21477,21411,21268,21254,21319,21214,21134,21211,21254,21185,21199,21158,21134,21121,21168,21177,21291,21250,21294,21331,21299,21377,21443,21592,21512,21485,21518,21516,21565,21586,21631,21693,21585,21620,21727,21740,21746,21779,21791,21845,21920,21961,21989,22032,22061,22102,22353,22441,22474,22477,22434,22506,22626,22674,22698,22743,22863,22936,23023,23088,23108,23216,23332,23478,23640,23917,24009,23969,24006,24084,24197,24356,24417,24570,24777,24868,25058,25210,25375,25406,25481,25533,25673,25786,25866,25925,26016,26074,26122,26212,26202,26323,26365,26394,26474,26574,26672,26817,26941,27065,27159,27211,27244,27215,27200,27180,27118,27077,26978,26920,26829,26769,26658,26598,26577,26474,26392,26299,26213,26102,26135,25985,25888,25764,25627,25486,25285,25051,24898,24758,24603,24424,24278,24133,23998,23824,23692,23537,23366,23231,23153,23012,22892,22811,22689,22593,22507,22377,22285,22211,
