Demand 02/20/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,21782,20456,20456,20456,20456,20456,20456,20456,20456,20456,20456,20456,20456,19690,19690,19690,19690,19690,19690,19690,19690,19690,19690,19690,19690,19210,19210,19210,19210,19210,19210,19210,19210,19210,19210,19210,19210,19002,19002,19002,19002,19002,19002,19002,19002,19002,19002,19002,19002,19231,19231,19231,19231,19231,19231,19231,19231,19231,19231,19231,19231,19873,19873,19873,19873,19873,19873,19873,19873,19873,19873,19873,19873,20814,20814,20814,20814,20814,20814,20814,20814,20814,20814,20814,20814,21089,21089,21089,21089,21089,21089,21089,21089,21089,21089,21089,21089,20642,20642,20642,20642,20642,20642,20642,20642,20642,20642,20642,20642,19640,19640,19640,19640,19640,19640,19640,19640,19640,19640,19640,19640,18701,18701,18701,18701,18701,18701,18701,18701,18701,18701,18701,18701,17925,17925,17925,17925,17925,17925,17925,17925,17925,17925,17925,17925,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17635,17635,17635,17635,17635,17635,17635,17635,17635,17635,17635,17635,18621,18621,18621,18621,18621,18621,18621,18621,18621,18621,18621,18621,20360,20360,20360,20360,20360,20360,20360,20360,20360,20360,20360,20360,22771,22771,22771,22771,22771,22771,22771,22771,22771,22771,22771,22771,24702,24702,24702,24702,24702,24702,24702,24702,24702,24702,24702,24702,24427,24427,24427,24427,24427,24427,24427,24427,24427,24427,24427,24427,23803,23803,23803,23803,23803,23803,23803,23803,23803,23803,23803,23803,23005,23005,23005,23005,23005,23005,23005,23005,23005,23005,23005,23005,21991,21991,21991,21991,21991,21991,21991,21991,21991,21991,21991,21991,20874,20874,20874,20874,20874,20874,20874,20874,20874,20874,20874,20874
Hour-ahead forecast,21225,20985,20985,20985,20760,20760,20760,20591,20591,20591,20383,20383,20383,20226,20226,20226,20075,20075,20075,19959,19959,19959,19894,19894,19894,19812,19812,19812,19784,19784,19784,19695,19695,19695,19662,19662,19662,19564,19564,19564,19546,19546,19546,19523,19523,19523,19584,19584,19584,19671,19671,19671,19753,19753,19753,19873,19873,19873,20054,20054,20054,20241,20241,20241,20456,20456,20456,20699,20699,20699,21016,21016,21016,21239,21239,21239,21304,21304,21304,21299,21299,21299,21284,21284,21284,21350,21350,21350,21243,21243,21243,21034,21034,21034,20920,20920,20920,20697,20697,20697,20513,20513,20513,20252,20252,20252,20031,20031,20031,19735,19735,19735,19394,19394,19394,19052,19052,19052,18772,18772,18772,18512,18512,18512,18325,18325,18325,18194,18194,18194,18033,18033,18033,17843,17843,17843,17702,17702,17702,17437,17437,17437,17315,17315,17315,17207,17207,17207,16962,16962,16962,16868,16868,16868,16890,16890,16890,16761,16761,16761,16806,16806,16806,16991,16991,16991,17010,17010,17010,17068,17068,17068,17237,17237,17237,17390,17390,17390,17593,17593,17593,17817,17817,17817,18261,18261,18261,18613,18613,18613,18926,18926,18926,19504,19504,19504,20088,20088,20088,20511,20511,20511,21223,21223,21223,21922,21922,21922,22666,22666,22666,23637,23637,23637,24388,24388,24388,24710,24710,24710,24823,24823,24823,24783,24783,24783,24681,24681,24681,24519,24519,24519,24425,24425,24425,24319,24319,24319,24173,24173,24173,24038,24038,24038,23901,23901,23901,23722,23722,23722,23615,23615,23615,23433,23433,23433,23213,23213,23213,22936,22936,22936,22701,22701,22701,22462,22462,22462,22218,22218,22218,21946,21946,21946,21708,21708,21708,21442,21442,21442,21161,21161,21161,20910,20910,20910,20687,20687,20687
Demand,21210,21156,21143,21042,21019,20915,20821,20776,20710,20638,20547,20490,20465,20380,20371,20347,20296,20264,20227,20191,20087,20045,20001,19990,19948,19917,19910,19887,19891,19877,19820,19784,19757,19713,19638,19619,19544,19608,19621,19613,19588,19562,19550,19583,19574,19561,19540,19552,19551,19619,19669,19696,19702,19751,19753,19810,19812,19822,19826,19896,19934,20032,20146,20208,20324,20346,20391,20458,20525,20602,20624,20685,20744,20903,21015,21093,21133,21162,21199,21176,21203,21168,21190,21208,21190,21204,21247,21234,21206,21169,21126,21096,21035,21048,20954,20824,20763,20829,20839,20803,20711,20666,20557,20492,20343,20219,20111,20001,19875,19832,19788,19663,19574,19438,19313,19243,19164,19070,18981,18898,18772,18806,18689,18620,18553,18515,18487,18405,18309,18238,18144,18091,18041,17970,17882,17816,17687,17625,17550,17507,17435,17390,17335,17264,17189,17070,16986,16901,16849,16926,16927,16921,16884,16840,16794,16821,16796,16789,16770,16798,16846,16804,16803,16796,16797,16788,16863,16886,16894,16853,16897,16964,17017,17058,17106,17172,17248,17279,17338,17453,17526,17554,17620,17730,17872,17977,18119,18237,18387,18510,18635,18760,18905,18961,19033,19279,19481,19690,19886,20094,20318,20553,20774,21009,21240,21447,21676,21950,22168,22381,22632,22848,23070,23365,23601,23815,24068,24354,24478,24624,24719,24732,24717,24779,24753,24761,24755,24751,24713,24678,24651,24605,24587,24551,24533,24498,24442,24430,24379,24315,24275,24237,24177,24141,24128,24070,24023,23952,23885,23843,23721,23707,23637,23562,23536,23449,23415,23314,23269,23192,23136,23071,22978,22900,22796,22662,22690,22671,22597,22492,22358,22275,22207,22096,22014,21884,21781,21668,21611,21541,21444,21310,21221,21103,21044,20951,20900,20822,
