Renewables 05/20/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-17,-18,-17,-17,-17,-17,-17,-18,-18,-18,-18,-18,-17,-18,-18,-18,-17,-18,-18,-18,-18,-18,-18,-17,-17,-17,-17,-17,-17,-18,-18,-18,-18,-18,-18,-18,-18,-18,-19,-19,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-21,-21,-21,-21,-21,-21,-21,-21,-22,-23,-23,-23,-24,-24,-22,-18,-4,26,84,178,322,531,757,1051,1409,1761,2166,2615,3067,3522,4057,4570,5041,5529,6077,6636,7084,7498,7993,8259,8498,8424,8455,8864,9444,9768,10050,10320,10466,10588,10728,10790,10870,10930,11021,11178,11317,11449,11537,11570,11705,11772,11842,11892,11949,12007,12058,12060,11880,11917,12012,11890,11638,11640,11577,11404,11552,11633,11763,11743,11805,11873,11747,11587,11638,11552,11419,11469,11396,11248,11154,11200,11361,11334,11266,11243,11452,11435,11386,11315,11254,11205,11075,11214,11718,11917,11756,11615,11640,11735,11711,11647,11729,11751,11602,11475,11720,11644,11446,11156,10956,10900,10765,10649,10413,10109,9904,9964,10002,9953,9655,9568,9646,9563,9201,8808,8721,8585,8357,8203,8152,8161,8119,8029,7908,7869,7889,7734,7730,7724,7518,7455,7462,7336,7237,7377,7363,6996,6730,6547,6441,6214,6016,5708,5503,5402,5130,4819,4701,4408,3851,3371,2973,2735,2418,2090,1858,1507,1240,975,703,484,337,207,120,61,22,0,-14,-18,-19,-19,-19,-18,-17,-17,-17,-17,-16,-16,-17,-17,-17,-17,-17,-17,-16,-16,-15,-16,-15,-15,-15,-15,-15,-15,-14,-15,-15,-14,-14,-15,-15,-15,-15,-15,-15,-15,-15,-16,-16,-16,-16,-15,-15
Wind,5220,5206,5184,5171,5211,5233,5252,5206,5187,5206,5216,5211,5238,5255,5269,5280,5295,5293,5298,5272,5251,5215,5168,5109,5051,5003,4953,4980,4969,4983,4974,4969,5003,4980,4935,4887,4826,4827,4802,4775,4732,4733,4722,4747,4778,4775,4786,4792,4781,4735,4699,4630,4652,4613,4579,4512,4486,4448,4400,4393,4379,4429,4423,4449,4459,4432,4426,4408,4386,4356,4356,4335,4309,4309,4286,4255,4200,4226,4204,4245,4185,4214,4189,4176,4155,4140,4146,4125,4078,4056,4030,4000,4010,4031,4091,4070,4074,4031,4040,4046,4032,4049,4051,4023,3972,3948,3935,3942,3940,3973,3964,3950,3935,3891,3877,3853,3820,3821,3867,3942,3979,4043,4106,4116,4175,4188,4205,4210,4218,4236,4241,4250,4234,4269,4290,4318,4323,4321,4244,4323,4310,4344,4370,4434,4423,4368,4349,4445,4501,4490,4535,4542,4561,4605,4587,4608,4591,4631,4662,4692,4718,4738,4705,4777,4811,4810,4839,4827,4855,4895,4872,4924,4933,4917,4976,4999,4954,4900,4882,4877,4915,4934,4942,4953,4992,5019,4982,5025,5078,5129,5151,5148,5177,5245,5224,5177,5098,5135,5159,5131,5146,5207,5274,5301,5336,5312,5253,5227,5222,5175,5200,5270,5296,5266,5270,5314,5371,5272,5213,5206,5248,5235,5231,5217,5215,5156,5096,5067,5036,5033,5089,5162,5188,5224,5231,5247,5266,5187,5091,5036,5015,5024,5064,5063,5044,5036,4991,4944,4889,4838,4756,4707,4717,4665,4620,4533,4460,4375,4342,4225,4088,3992,4007,4024,4048,4035,4008,3969,3957,3983,4008,3983,4015,4033,4057,4090,4138,4175,4208,4199,4223,4263,4266,4369,4502,4609,4641,4642
Geothermal,862,863,862,862,864,863,863,863,863,862,862,863,864,863,864,864,864,864,863,864,864,864,864,863,863,865,865,866,866,866,866,866,868,866,867,867,866,866,866,866,867,867,866,866,866,866,867,866,867,866,867,868,867,865,867,867,867,866,866,867,865,867,867,867,867,868,868,868,868,868,869,868,868,868,868,867,865,868,869,869,865,865,865,862,859,853,849,850,851,849,847,848,847,848,851,851,852,849,842,843,845,854,854,854,854,855,856,859,861,861,860,861,861,862,863,863,861,862,862,862,862,862,862,861,861,862,861,861,862,861,861,861,860,860,861,860,859,859,858,859,859,859,859,858,858,859,858,858,858,859,857,858,859,859,856,857,857,856,856,856,856,857,858,857,857,858,858,857,857,857,857,857,857,857,858,859,860,859,860,859,857,857,857,857,856,856,856,857,857,858,859,860,859,859,859,860,860,859,859,858,857,857,859,858,857,858,857,857,858,858,858,858,857,858,859,859,860,861,861,861,860,861,861,861,861,860,864,869,869,877,883,883,883,890,892,893,892,892,893,892,893,893,894,894,894,895,894,893,894,894,895,899,896,892,894,895,897,900,900,899,899,900,900,899,899,901,893,893,893,893,893,895,872,864,868,872,879,884,891,892,891,892,893,895,894,894,896,894
Biomass,334,321,308,307,308,307,307,307,306,307,308,309,308,303,307,306,306,305,306,308,308,305,307,307,307,304,305,307,306,306,307,305,306,306,307,306,307,309,309,309,310,310,310,307,310,309,310,309,309,311,311,309,308,310,310,312,312,310,311,310,309,308,309,308,312,310,310,309,308,308,308,309,311,312,311,312,313,314,313,314,313,315,317,314,314,314,311,311,314,316,312,312,312,304,299,285,285,287,289,286,283,277,275,275,276,282,284,281,280,279,276,275,274,269,272,273,273,270,269,272,273,272,272,272,269,266,264,268,266,266,264,265,265,266,269,267,266,266,265,267,270,272,271,271,270,270,270,270,270,272,272,270,271,273,272,270,270,270,271,271,271,270,269,270,270,269,269,269,268,266,266,263,264,265,265,265,271,277,283,290,292,298,302,296,292,295,296,298,299,299,299,297,300,252,253,254,254,253,254,254,257,255,255,256,254,252,252,252,252,252,253,251,250,251,251,252,248,248,248,253,257,257,258,262,268,271,273,277,277,279,280,279,281,282,286,288,291,292,293,296,298,297,296,295,293,296,296,294,294,296,296,295,293,293,295,295,296,295,294,297,296,296,298,297,296,294,291,291,291,292,291,289,288,289,289,289,289,289,290,288,290,290,290,290,289,291,290,290
Biogas,199,200,200,201,202,202,203,203,203,203,203,203,204,204,204,204,203,203,203,203,203,203,203,203,203,202,203,203,204,203,203,202,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,204,203,203,203,203,203,203,204,204,203,204,205,204,205,205,204,205,204,204,204,204,204,204,204,204,204,204,204,204,204,204,205,204,204,204,205,205,204,204,204,204,205,204,206,205,205,205,204,204,205,205,205,205,205,205,201,199,201,203,205,202,204,205,205,205,205,205,205,205,205,205,205,205,207,206,205,205,206,206,206,207,207,206,206,207,207,206,207,207,207,206,207,206,206,206,206,206,206,206,206,196,196,196,197,196,196,196,195,196,197,196,198,199,198,198,198,198,199,201,204,190,183,183,183,184,184,184,184,185,185,185,185,186,185,186,186,186,188,190,193,192,195,194,193,193,192,193,192,193,194,194,194,193,194,194,194,194,195,197,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,199,199,199,199,200,199,207,206,209,210,210,210,212,212,212,212,212,211,212,212,212,212,212,212,211,211,211,211,212,212,212,211,212,212,213,213,213,213,213,213,213,213,213,213,212,212,212,212,211,211,211,211,212,212,211,212,213,214,214,215,214,214,214,212,212
Small hydro,239,236,234,234,235,235,235,235,235,236,237,236,235,235,235,236,236,236,236,236,236,236,234,234,234,234,236,236,237,236,236,236,236,236,235,235,235,235,235,235,236,236,235,236,235,235,236,236,236,235,235,235,233,231,231,231,231,231,230,231,231,230,229,229,229,229,229,228,228,228,227,227,227,227,227,226,227,228,228,228,228,228,228,228,226,227,227,228,228,229,229,228,227,227,227,228,228,225,224,224,224,224,225,213,219,223,223,224,224,222,219,220,219,219,219,220,220,220,220,220,220,220,220,219,219,219,219,219,220,220,219,218,217,218,219,219,218,218,218,218,218,218,219,219,219,218,219,219,219,219,219,219,220,220,220,219,219,220,218,219,221,221,222,221,220,220,220,221,222,223,226,226,226,225,224,225,225,225,226,225,223,224,224,224,224,223,223,223,223,223,223,224,223,223,224,224,223,224,224,224,223,225,226,227,228,231,233,233,232,233,233,234,233,234,234,234,236,240,244,242,240,240,241,240,241,240,240,239,238,237,237,238,238,238,237,237,237,238,239,239,240,240,240,239,239,238,237,238,236,237,238,237,237,237,239,239,239,239,239,238,238,237,237,238,238,238,237,237,237,236,236,235,235,235,235,236,236,236,235,234,234,235,236,235,234,233,233,233
