Renewables 02/20/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-38,-37,-37,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-39,-39,-39,-38,-39,-39,-39,-38,-39,-39,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-40,-40,-39,-35,-22,12,80,183,332,565,808,1074,1446,1839,2173,2575,3061,3582,4100,4666,5262,5720,6189,6687,7198,7470,7854,8073,8280,8449,8586,8602,8711,8827,9007,9150,9554,9844,9962,9894,9808,9461,9331,9192,9037,8771,8812,8923,8993,9015,9099,9036,8964,8808,8888,8904,8790,8831,8960,9136,9479,9430,8959,8261,8114,8567,8541,8475,8532,8509,8434,8087,7972,7933,7915,7831,7727,8025,8027,8233,8078,7884,7853,7812,7993,8434,8656,8699,8818,8575,8165,8013,7833,7814,8053,8249,8188,7963,7889,7831,8003,8093,7973,7828,7722,7549,7523,7631,7528,7657,7453,7395,7333,7482,7898,8051,8230,8198,7982,7625,7122,6654,6360,5904,5453,5035,4530,3980,3441,2877,2406,1994,1609,1222,860,616,414,253,147,78,35,9,-2,-2,-3,-2,-2,-1,0,0,1,1,2,2,2,2,1,1,1,1,2,2,2,3,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,5,5,4,5,5,5,4,4,5,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Wind,3970,3931,3883,3857,3870,3864,3827,3768,3723,3702,3747,3825,3918,3986,4036,4071,4029,4020,4006,3962,3912,3897,3889,3881,3852,3889,4032,4147,4208,4280,4361,4335,4280,4168,4073,3965,3906,3838,3781,3742,3695,3704,3712,3720,3695,3635,3611,3652,3727,3695,3636,3614,3596,3550,3413,3294,3253,3171,3092,3021,2933,2826,2708,2712,2693,2675,2653,2603,2588,2624,2681,2719,2691,2691,2705,2715,2832,2994,3104,3128,3116,3139,3209,3335,3513,3599,3570,3654,3725,3757,3707,3636,3585,3569,3649,3654,3626,3653,3651,3738,3879,3992,4066,4078,4039,4026,3996,3990,3993,3975,4006,4078,4173,4166,4182,4222,4248,4206,4195,4216,4259,4292,4328,4338,4426,4380,4363,4349,4369,4358,4358,4376,4396,4412,4411,4448,4538,4571,4519,4536,4588,4595,4554,4427,4396,4329,4285,4269,4217,4201,4266,4393,4327,4223,4085,3919,3925,3917,3954,3976,4076,4169,4202,4302,4378,4376,4398,4420,4414,4394,4389,4358,4348,4410,4488,4511,4561,4620,4627,4679,4682,4637,4550,4504,4499,4593,4582,4570,4532,4525,4472,4500,4544,4569,4562,4572,4571,4533,4487,4469,4489,4467,4415,4342,4272,4265,4241,4230,4220,4185,4145,4149,4104,4060,4029,4005,3961,3875,3837,3866,3892,3876,3873,3876,3882,3899,3898,3896,3890,3860,3851,3822,3803,3780,3760,3725,3702,3690,3681,3700,3691,3682,3678,3640,3597,3576,3551,3512,3497,3466,3404,3384,3435,3441,3441,3406,3370,3303,3259,3229,3169,3159,3137,3102,3146,3182,3134,3072,3043,3010,2808,2799,2777,2760,2714,2691,2675,2675,2640,2718,2718,2560,2530,2580,2594,2560,2551,2518
Geothermal,1020,1021,1020,1021,1021,1021,1022,1021,1021,1020,1019,1020,1020,1019,1020,1021,1022,1022,1022,1022,1021,1020,1020,1020,1019,1019,1018,1017,1018,1019,1019,1019,1019,1018,1018,1018,1017,1017,1017,1016,1015,1016,1018,1018,1019,1019,1019,1019,1018,1018,1016,1017,1017,1016,1016,1017,1017,1018,1018,1018,1018,1018,1017,1016,1007,1015,1016,1014,1015,1016,1016,1016,1016,1016,1016,1015,1015,1014,1014,1014,1014,1011,1013,1014,1015,1017,1016,1017,1017,1016,1016,1015,1015,1014,1014,1014,1014,1015,1009,1004,1014,1021,1019,1018,1018,1018,1018,1017,1017,1016,1016,1016,1016,1017,1018,1018,1018,1018,1011,1017,1018,1016,1017,1016,1017,1017,1017,1018,1019,1020,1016,1015,1016,1016,1016,1016,1015,1014,1014,1015,1014,1014,1015,1019,1020,1021,1020,1015,1020,1018,1018,1019,1018,1017,1018,1017,1017,1013,1019,1019,1019,1019,1012,1019,1018,1018,1016,1016,1015,1016,1015,1015,1017,1017,1017,1017,1017,1013,1017,1016,1015,1016,1015,1014,1014,1014,1014,1015,1016,1016,1017,1016,1016,1016,1016,1016,1015,1012,1014,1014,1014,1014,1015,1015,1015,1015,1015,1015,1015,1015,1014,1014,1014,1013,1013,1013,1014,1014,1015,1015,1015,1015,1015,1014,1012,1014,1013,1013,1013,1014,1014,1016,1014,1016,1017,1017,1017,1016,1017,1016,1016,1015,1015,1014,1014,1016,1018,1019,1019,1020,1020,1019,1019,1019,1019,1018,1017,1017,1017,1017,1018,1015,1020,1019,1019,1019,1019,1019,1019,1019,1018,1018,1018,1017,1018,1018,1019,1020,1021,1020,1020,1020,1020,1020,1020,1018,1018,1018
Biomass,336,337,336,336,337,335,337,335,333,333,332,335,333,335,334,334,335,335,334,334,335,336,336,335,334,335,331,333,332,334,334,335,334,335,335,334,334,336,337,338,337,337,336,337,336,335,336,335,334,338,337,336,337,339,340,338,338,338,338,335,335,334,333,332,330,328,328,327,326,329,328,327,326,327,325,325,324,324,325,326,325,325,323,323,324,324,324,323,322,324,323,323,322,322,321,323,324,326,322,321,324,323,323,324,325,324,324,325,322,323,324,325,326,325,325,324,324,319,321,322,321,323,322,322,320,322,321,321,322,323,325,322,319,318,322,321,323,317,317,319,317,319,320,319,318,317,314,315,316,315,315,316,318,317,317,319,319,318,317,318,318,318,319,319,318,321,319,317,298,301,301,302,301,302,301,302,302,301,300,298,300,300,303,303,303,302,302,300,302,302,304,302,303,306,308,308,308,308,313,318,318,320,322,322,324,323,326,323,325,326,324,322,319,316,318,323,323,322,323,325,324,326,323,324,324,323,322,323,322,324,326,327,327,327,328,328,328,327,329,329,328,330,328,330,332,331,333,333,332,331,335,337,345,348,350,350,351,351,351,352,353,354,354,353,353,352,353,352,352,353,353,354,354,355,354,354,352,354,356,354,355,353,355,355,353,353,354,355
Biogas,222,222,222,222,222,222,222,222,223,222,222,223,222,222,222,222,222,222,221,222,221,222,222,222,222,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,224,224,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,222,222,222,222,222,222,222,223,223,222,223,223,222,222,223,223,222,223,222,223,222,222,222,222,222,222,222,221,222,222,222,222,222,222,222,222,222,221,221,221,221,221,221,221,221,221,222,222,222,222,222,222,222,222,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,212,212,212,213,213,217,218,218,219,220,221,221,222,222,222,221,221,221,221,221,221,221,221,221,220,221,221,220,220,220,220,220,220,220,220,220,220,219,218,217,217,217,217,217,217,217,217,217,217,218,220,220,220,221,221,220,219,217,217,217,217,218,218,219,219,219,218,218,218,218,215,213,213,214,216,215,215,215,215,215,216,216,215,216,215,215,216,216,210,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,202,203,203,202,202,202,202,202,202,202,202,203,203,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
Small hydro,150,150,150,148,146,146,146,146,147,148,147,147,147,148,148,147,147,147,147,147,147,148,148,147,147,147,148,147,148,148,147,147,147,148,148,148,148,148,148,148,148,148,148,148,148,148,148,149,149,148,148,147,146,147,148,149,149,148,147,147,148,149,151,151,152,151,151,151,151,151,151,151,149,149,147,147,147,148,149,149,149,149,149,149,148,147,144,140,137,137,137,137,137,137,137,122,97,96,96,96,97,97,96,96,96,98,100,97,97,96,96,96,97,97,97,97,97,98,103,104,104,104,104,103,100,97,99,105,110,110,111,108,108,107,107,108,109,109,108,108,108,107,106,107,108,108,108,105,98,97,97,96,96,98,99,99,98,98,98,97,100,105,107,105,100,101,101,101,100,99,100,104,104,105,105,106,107,107,107,106,104,104,109,112,113,113,113,113,113,113,111,111,111,120,154,155,155,156,156,157,158,159,159,158,157,155,157,159,159,159,159,160,160,160,161,161,162,163,163,162,162,161,161,160,160,160,161,161,161,161,162,161,161,160,160,160,159,159,159,159,160,161,161,161,162,161,161,161,162,163,163,162,161,160,160,160,160,160,160,160,160,160,160,160,159,160,154,151,151,150,149,149,149,148,149,149,149,148,149,149,150,149,148,148,148,148,148,148
